Feature,LR_abs_coeff,RF_importance,Omics
RNA_TP53,1.4831536696400645,0.028767293760691058,RNA
RNA_RETN,0.8359004957605028,0.019062371988688237,RNA
RNA_RB1,1.076841591271051,0.016688580764376758,RNA
CNV_CEACAM8,0.6449541757633068,0.013604224399247775,CNV
CNV_PTEN,0.6132963541776345,0.07573785101439447,CNV
CNV_LBX1,0.8613869675479967,0.06897158893018684,CNV
