Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
AMICA1,45,10,2.4605670296634736e-06,9.885701502969965e-06,0.0622131565527792
AMN,119,85,0.024251801111769847,0.04703816091685044,0.05403705592384839
AMN1,30,11,0.004019185529665655,0.009497593995066457,0.033299337072921986
AMOTL1,49,10,2.943807390367492e-07,1.3640306791517726e-06,0.0694203637599864
AMPD2,10,177,1.4570997295668478e-49,2.53339723814273e-48,0.3159442461329254
AMTN,25,61,2.4581498310210675e-05,8.33739597236362e-05,0.07004929457759647
AMY1A,15,177,5.770670465334055e-45,7.960239828305618e-44,0.30693523712391635
AMZ1,3,15,0.0034694057514028567,0.008276546482066653,0.022896481387047425
AMZ2,13,1,0.001783177570548905,0.0045828731334107186,0.021536630970593235
ANAPC10,29,79,8.422246945603516e-08,4.070752690375033e-07,0.09680435152133265
ANAPC16,460,88,1.628940032584891e-114,1.681095672556297e-111,0.6627910929797722
ANG,143,52,5.324953986211923e-12,3.1692337076416607e-11,0.15954445011048782
ANGPT2,38,17,0.008029219853288385,0.01770364606430326,0.036392996770355256
ANGPTL2,46,23,0.008709407128753057,0.01906684003551776,0.039486656467788546
ANGPTL5,49,12,2.1252990824413047e-06,8.659138274052964e-06,0.06564677885432603
ANGPTL7,49,190,8.73853980740591e-28,6.596499748082994e-27,0.27020227774944755
