Gene
AKR1C4
C4orf51
CCDC105
CEACAM8
CLC
DRGX
EGFR
FUBP1
IFNA6
KLF14
KLK8
LBX1
LGALS7
LGALS7B
OR2A5
OR2Z1
PNLIP
PROKR2
PTEN
RB1
RETN
RNF113B
RNU11
SCARNA1
SEMA3C
SNORA12
SNORA15
SNORA20
SNORD22
SUN5
TP53
UNCX
