Gene,GBM_loss,LGG_loss,pval,FDR,freq_diff
AKR1E2,423,78,1.8949362660468105e-98,5.762294046266233e-97,0.6149923508414075
AKR7A2,34,182,2.963718629679489e-33,2.3757193839405165e-32,0.2821349651538331
AKT1S1,63,242,1.2240602686172064e-37,1.0906734149066407e-36,0.34309026007139215
AKT2,34,214,4.667253946578596e-44,5.916581332110014e-43,0.34251232364439915
ALDH18A1,465,104,6.365984987765353e-107,5.1138944645032686e-105,0.6416114227434981
ALDH1B1,140,50,5.5463691810850765e-12,3.2997052609211884e-11,0.1579126296107428
ALDH4A1,30,181,2.365117456087555e-35,1.9564314110874037e-34,0.2874553799082101
ALG11,202,98,3.564216070739801e-11,2.0296305464235515e-10,0.1790583035866055
ALG14,19,177,1.332636163597674e-41,1.3739780679179313e-40,0.29972802991670916
ALG5,169,86,3.037968715004159e-08,1.5136439813198168e-07,0.14224035356110828
ALG6,7,176,1.3246190085019777e-52,2.6045061185493077e-51,0.3194628590855006
ALKBH6,25,197,2.713658188764396e-44,3.55092102017585e-43,0.3266530681625021
ALOX5,431,80,8.193013713290896e-102,3.0165551961043093e-100,0.6256331803501615
ALOX5AP,154,80,4.474162191429363e-07,2.037927969668038e-06,0.12653408125106239
ALPL,38,183,2.6461169002592426e-31,2.0649334065295762e-30,0.276814550399456
ALX3,10,178,6.145671717848907e-50,1.091256271223715e-48,0.31783103858575557
AMER2,150,83,5.898917573927916e-06,2.2048653843131414e-05,0.11366649668536463
AMPD2,10,177,1.4570997295668478e-49,2.53339723814273e-48,0.3159442461329254
AMY1A,15,177,5.770670465334055e-45,7.960239828305618e-44,0.30693523712391635
ANAPC16,460,88,1.628940032584891e-114,1.681095672556297e-111,0.6627910929797722
ANG,143,52,5.324953986211923e-12,3.1692337076416607e-11,0.15954445011048782
ANGPTL7,49,190,8.73853980740591e-28,6.596499748082994e-27,0.27020227774944755
ANK3,452,84,5.9846603790301375e-112,1.0576655083975379e-109,0.6559238483766786
ANKRD10,127,59,3.1134467470763197e-07,1.4359900839601004e-06,0.11750807411184769
ANKRD16,423,80,4.235566630082153e-97,1.1782718873535944e-95,0.6112187659357471
ANKRD18A,138,53,1.054279151642119e-10,5.80123861390766e-10,0.14864864864864866
ANKRD18B,166,66,1.9016821663349734e-12,1.1560934642931595e-11,0.17457079721230664
ANKRD2,460,104,1.477764241058803e-103,6.1663817858848165e-102,0.6326024137344892
ANKRD20A1,132,50,1.5219959982185154e-10,8.271861029391657e-10,0.1434982151963284
ANKRD20A19P,153,82,1.47588130975189e-06,6.15681450571866e-06,0.12095869454360023
ANKRD22,469,104,1.1285222237232264e-109,1.48707551269915e-107,0.6488186299507055
ANKRD26,432,75,6.378709672792363e-106,3.7576853609681134e-104,0.6368689444161143
ANKRD27,26,190,8.020252893376748e-41,8.058878860488664e-40,0.31164371919088896
ANKRD30A,429,76,2.1578717311335672e-103,8.905370644255068e-102,0.6295767465578787
ANP32AP1,109,48,6.967117285024608e-07,3.089139192905539e-06,0.10583035866054734
ANXA11,456,97,1.031889964615823e-105,5.78397427181302e-104,0.6386027536970934
AP1B1,152,39,6.517121805911099e-19,4.642020093333169e-18,0.2002889682134965
AP1B1P1,154,38,7.485238450208997e-20,5.477021529422287e-19,0.20577936426993032
AP2A1,63,242,1.2240602686172064e-37,1.0906734149066407e-36,0.34309026007139215
AP2S1,65,241,2.4279421872342138e-36,2.064094371060122e-35,0.33759986401495834
AP3M1,461,90,8.59251846550493e-114,3.3096618561234632e-111,0.6608193098759136
AP4B1,12,178,4.041665616872934e-48,6.664533578119123e-47,0.31422743498215194
AP4S1,143,55,3.96454785898368e-11,2.243142671851331e-10,0.15388407275199725
APBB1IP,430,75,1.0589460638640351e-104,4.955603667092067e-103,0.6332653408125106
APITD1,71,192,1.1762470038148143e-19,8.581633070085546e-19,0.23433622301546828
APLP1,23,195,7.740040675556147e-45,1.0570081002564038e-43,0.3264830868604453
APOBEC3A,154,46,1.9423283598605622e-16,1.3286728880612643e-15,0.19068502464728881
APOBEC3C,154,46,1.9423283598605622e-16,1.3286728880612643e-15,0.19068502464728881
APOBEC3F,154,47,4.504662024452188e-16,3.0454110230117358e-15,0.18879823219445863
APOBEC3G,153,47,7.705385604723764e-16,5.165118364755037e-15,0.18699643039265684
APOBEC3H,153,47,7.705385604723764e-16,5.165118364755037e-15,0.18699643039265684
APOC1,49,235,1.8782771837901e-42,2.0401648485101144e-41,0.3551079381268061
APOC1P1,49,238,1.70521961400243e-43,2.0297788463981382e-42,0.36076831548529664
APOC2,49,237,3.8032374752926155e-43,4.3745967345976774e-42,0.35888152303246645
APOL1,153,44,5.993890833111374e-17,4.166600096945815e-16,0.1926568077511474
APOL3,155,44,1.9668560976317532e-17,1.3710492945997306e-16,0.19626041135475097
APOL4,155,44,1.9668560976317532e-17,1.3710492945997306e-16,0.19626041135475097
APOL5,154,46,1.9423283598605622e-16,1.3286728880612643e-15,0.19068502464728881
APOL6,153,47,7.705385604723764e-16,5.165118364755037e-15,0.18699643039265684
APTX,175,73,2.407379415570134e-12,1.4582118379312317e-11,0.17757946625871154
AQP3,168,66,7.455725763354135e-13,4.58827990238041e-12,0.17817440081591027
AQP7,169,67,8.88735551358006e-13,5.4536705279820116e-12,0.17808941016488186
AQR,109,46,2.3370909104573732e-07,1.0943821588806315e-06,0.10960394356620771
ARFGAP3,162,56,8.475145634061662e-15,5.4337873544547284e-14,0.18623151453340134
ARFIP1,32,85,4.456518134947548e-08,2.1935064031186785e-07,0.10271970083290838
ARGLU1,128,64,2.3188803768243912e-06,9.356492350431375e-06,0.10987591364949856
ARHGAP12,432,75,6.378709672792363e-106,3.7576853609681134e-104,0.6368689444161143
ARHGAP19,459,105,2.8930223454230083e-102,1.1143328634088316e-100,0.6289138194798571
ARHGAP21,430,76,5.3676212472517015e-104,2.290693362960655e-102,0.6313785483596804
ARHGAP22,439,82,2.82368382423477e-105,1.4576418696788564e-103,0.6362740098589156
ARHGAP29,24,178,3.646466175980891e-38,3.3626282931605242e-37,0.2926058133605303
ARHGAP33,25,196,6.21840595036943e-44,7.752107401365111e-43,0.3247662757096719
ARHGAP35,65,241,2.4279421872342138e-36,2.064094371060122e-35,0.33759986401495834
ARHGAP5,143,55,3.96454785898368e-11,2.243142671851331e-10,0.15388407275199725
ARHGAP8,162,58,3.6956520140114997e-14,2.3345704186072645e-13,0.18245792962774096
ARHGEF1,48,225,1.3258295757637346e-39,1.2824605207419718e-38,0.338041815400306
ARHGEF10L,31,181,9.89790322974777e-35,8.076387958569854e-34,0.2856535781064083
ARHGEF16,57,191,9.6259281783876e-25,7.186913175732532e-24,0.2576746557878633
ARHGEF19,29,184,5.421622312362036e-37,4.740605959039726e-36,0.2949175590685024
ARHGEF39,146,50,2.979224260357176e-13,1.856238359149129e-12,0.1687234404215536
ARHGEF40,143,53,1.0539874923044792e-11,6.184765667733549e-11,0.15765765765765763
ARHGEF7,127,60,5.099345923300257e-07,2.2921117432620127e-06,0.1156212816590175
ARID1A,32,183,8.955841979766807e-35,7.339588555376813e-34,0.28762536121026683
ARID3C,150,58,1.1352466186513803e-11,6.656391376026945e-11,0.16083630800611934
ARL11,198,97,1.1107381866385923e-10,6.105977214064623e-10,0.1737378888322285
ARL2BPP3,170,86,2.0973405156978084e-08,1.0558394513006862e-07,0.14404215536291007
ARL3,462,108,2.2797055092772363e-102,8.826220659887279e-101,0.628658847526772
ARL5B,425,78,1.2672153176877393e-99,4.230246333845605e-98,0.618595954445011
ARMC3,431,78,3.3595118513464883e-103,1.3676581851199715e-101,0.6294067652558218
ARMC4,435,76,4.723378659214509e-107,4.2743731457060455e-105,0.6403875573686895
ARMC4P1,432,75,6.378709672792363e-106,3.7576853609681134e-104,0.6368689444161143
AS3MT,464,110,1.9181413368555257e-102,7.464849523897333e-101,0.6284888662247152
ASAH2B,443,84,2.3433785183565653e-106,1.6522030890387458e-104,0.6397076321604623
ASAP3,40,185,7.713863121976716e-31,5.976155328433947e-30,0.2769845317015128
ASB13,422,79,3.433922416518352e-97,9.678120551770859e-96,0.6113037565867755
ASCC1,461,88,3.3908998131137096e-115,6.678980251272161e-112,0.664592894781574
ASCC2,154,38,7.485238450208997e-20,5.477021529422287e-19,0.20577936426993032
ASIC5,33,86,5.668856309222464e-08,2.7630616313153746e-07,0.10280469148393676
ASPHD2,144,37,9.097139096502996e-18,6.356149930589209e-17,0.1896481387047425
ATAD1,469,105,5.063284204310104e-109,6.391651707323225e-107,0.6469318374978752
ATE1,469,133,7.638196416070494e-92,1.8126538161486725e-90,0.5941016488186299
ATF5,62,242,3.918048329709426e-38,3.5692493637898725e-37,0.344892061873194
ATG14,131,70,1.1036826274764139e-05,3.9559819684921716e-05,0.10396056433792283
ATG4C,7,176,1.3246190085019777e-52,2.6045061185493077e-51,0.3194628590855006
ATL1,126,62,1.8876126283428315e-06,7.796457768206218e-06,0.11004589495155534
ATOH7,460,89,8.198379656653649e-114,3.3096618561234632e-111,0.660904300526942
ATP11A,124,61,2.4207807706863916e-06,9.746708318748586e-06,0.1083290838007819
ATP1A1,12,175,9.804858944771988e-47,1.5153147229255637e-45,0.3085670576236614
ATP1A3,49,227,1.0136073641830668e-39,9.855281439972835e-39,0.34001359850416457
ATP1B2,67,9,2.5037632322425706e-12,1.5135425060260723e-11,0.10373958864524903
ATP4A,25,196,6.21840595036943e-44,7.752107401365111e-43,0.3247662757096719
