Gene,GBM_loss,LGG_loss,pval,FDR
ACBD6,7,1,0.06988466164918797,0.11963616949220532
ACBD7,424,77,1.0203473077059256e-99,3.4290060976193323e-98
ACCS,61,49,0.3660000710637126,0.49612462258789836
ACCSL,61,49,0.3660000710637126,0.49612462258789836
ACE,13,1,0.001783177570548905,0.0045828731334107186
ACE2,9,30,0.00045456488837536494,0.0013154447607734026
ACER1,10,6,0.4530657644335597,0.5885975882833983
ACER2,286,132,1.4123241305491474e-19,1.02690866839832e-18
ACER3,51,14,4.6169206421054886e-06,1.770173095602569e-05
ACKR2,32,34,0.7038484569067603,0.8132614044806826
ACKR3,23,48,0.0012821354839669845,0.0033968675908557394
ACKR5,31,35,0.526261208718706,0.6645507630608946
ACKR6,58,8,1.484166186421526e-10,8.069180040689166e-10
ACLY,29,10,0.003140685059375372,0.007589068185873089
ACMSD,10,7,0.6278994251432753,0.7569460849452117
ACN9,1,3,0.36316015387059114,0.49254169659118996
ACO1,197,80,9.7984338780974e-15,6.255506745294481e-14
ACO2,157,52,5.165058105016503e-15,3.353046795745804e-14
ACOT11,9,175,6.57489999228143e-50,1.1592505596719677e-48
ACOT6,136,102,0.039886341832914035,0.0734910618194572
ACOT7,102,203,3.20109857357543e-13,1.9928264721197725e-12
ACOT9,9,33,0.00010344275980020623,0.0003218552480776094
ACOX1,12,2,0.01270460490418217,0.026673455607354936
ACOX3,29,39,0.1683444809021016,0.25789909731963884
ACOXL,12,7,0.3574807862272077,0.4875682196027887
ACP1,21,21,1.0,1.0
ACP5,11,3,0.05670376906265473,0.09970783318028786
ACP6,12,85,8.614276842804593e-17,5.952330576477029e-16
ACPL2,29,21,0.3851766147105913,0.5154216200055677
ACPP,31,22,0.3243526224939539,0.4489059420586121
ACR,168,58,1.8044692565952823e-15,1.191504930662608e-14
ACRC,3,5,0.49706520125893344,0.634402162558343
ACSBG2,10,6,0.4530657644335597,0.5885975882833983
ACSF3,51,19,0.00017523897076983356,0.0005310550370999475
ACSL1,48,88,7.603112497412633e-05,0.0002407545445533992
ACSL3,10,16,0.23436189848517858,0.3410427626701882
ACSL5,467,126,1.710304810509623e-94,4.468208497995749e-93
ACSL6,20,30,0.11297434711625293,0.18234668984424104
ACSM1,36,11,0.0004708648962629411,0.0013566038495707521
ACSM2A,34,11,0.0007391721636164973,0.002057791742373429
ACSM3,39,11,0.00011840273809974537,0.00036657995295432294
ACSM4,34,8,5.979734871378052e-05,0.0001923090927806489
ACSM5,33,11,0.0011411924436266485,0.0030525272236751272
ACSS1,13,10,0.6762547896585908,0.7924982929488241
ACSS2,9,1,0.02124361667577746,0.04203393173123407
ACSS3,42,40,1.0,1.0
ACTA2,469,104,1.1285222237232264e-109,1.48707551269915e-107
ACTB,5,9,0.28915257733996946,0.4079693826243093
ACTBL2,14,17,0.5856429304906156,0.721996561496104
ACTC1,107,46,5.155535593050556e-07,2.3077430487951757e-06
ACTG1,15,5,0.0406082412561299,0.0746380766119642
