Gene,GBM_mut,LGG_mut,pval,FDR
KIAA0947,2,2,0.6129467360897645,1.0
KIAA1009,1,3,1.0,1.0
KIAA1012,5,2,0.05296050564450086,0.9984238280609337
KIAA1024,2,3,1.0,1.0
KIAA1033,2,1,0.2776318594459757,1.0
KIAA1045,2,2,0.6129467360897645,1.0
KIAA1109,4,6,0.7449010997430616,1.0
KIAA1161,1,4,0.6635915057670203,1.0
KIAA1199,1,2,1.0,1.0
KIAA1210,3,5,1.0,1.0
KIAA1211,3,2,0.3479791729957157,1.0
KIAA1217,2,7,0.7264026999583479,1.0
KIAA1244,4,5,0.506868682875917,1.0
KIAA1324,1,3,1.0,1.0
KIAA1324L,4,2,0.19015132781181593,1.0
KIAA1370,0,3,0.555300505294623,1.0
KIAA1377,2,3,1.0,1.0
KIAA1409,4,6,0.7449010997430616,1.0
KIAA1429,1,6,0.43173728841039627,1.0
KIAA1432,1,2,1.0,1.0
KIAA1462,3,5,1.0,1.0
KIAA1467,3,0,0.041546220364935736,0.9984238280609337
KIAA1486,3,3,0.4235081060898829,1.0
KIAA1522,0,4,0.3041276425443637,1.0
KIAA1524,2,1,0.2776318594459757,1.0
KIAA1529,1,4,0.6635915057670203,1.0
KIAA1539,2,2,0.6129467360897645,1.0
KIAA1549,3,5,1.0,1.0
KIAA1586,1,3,1.0,1.0
KIAA1598,3,0,0.041546220364935736,0.9984238280609337
KIAA1632,1,3,1.0,1.0
KIAA1712,1,2,1.0,1.0
KIAA1751,6,0,0.0016892876454992626,0.3432382230818131
KIAA1797,2,2,0.6129467360897645,1.0
KIAA1804,3,1,0.12322231267327528,1.0
KIAA1958,1,2,1.0,1.0
KIAA2022,3,3,0.4235081060898829,1.0
KIAA2026,3,0,0.041546220364935736,0.9984238280609337
KIDINS220,1,2,1.0,1.0
KIF13A,6,3,0.07158905501404213,1.0
KIF13B,0,6,0.09773391900633387,1.0
KIF15,1,2,1.0,1.0
KIF16B,3,9,0.5578688068667825,1.0
KIF17,2,1,0.2776318594459757,1.0
KIF18B,2,1,0.2776318594459757,1.0
KIF19,4,3,0.2440874242159363,1.0
KIF1A,1,3,1.0,1.0
KIF1B,2,3,1.0,1.0
KIF20B,2,5,1.0,1.0
KIF21A,2,3,1.0,1.0
KIF21B,1,3,1.0,1.0
KIF23,0,3,0.555300505294623,1.0
KIF24,1,7,0.27372353182729653,1.0
KIF25,1,2,1.0,1.0
KIF26A,2,4,1.0,1.0
KIF26B,1,5,0.6704048423590807,1.0
KIF27,1,3,1.0,1.0
KIF2B,8,8,0.19683206652272855,1.0
KIF3A,1,2,1.0,1.0
KIF4A,3,3,0.4235081060898829,1.0
